95,3,95.8,1.0,0.5,Portly23,GamesDean
96,0,21.0,1.0,0.5,Ice Bank Mice Elf,gust
97,0,2.5,1.0,0.5,Ice Bank Mice Elf,FirstClan
98,0,0.6,0.25,0.1,solasso,Ice Bank Mice Elf
99,0,5.0,1.0,0.5,Portly23,winnipuh
100,0,2.5,1.0,0.5,IlxxxlI,Ice Bank Mice Elf
101,0,1.0,1.0,0.5,AironVega,Portly23
102,1,2.14,0.5,0.25,0nlyDaNuts,FirstClan
103,1,10.93,1.0,0.5,gust,Ice Bank Mice Elf
104,0,2.5,1.0,0.5,Pimpika,Portly23
105,2,9.01,1.0,0.5,Portly23,Pimpika
106,1,3.19,0.25,0.1,Parcker,MNspecktacular
107,2,0.57,0.25,0.1,swill300857,solasso
108,0,1.25,0.5,0.25,Spagetti1,0nlyDaNuts
109,0,2.0,1.0,0.5,l3ae,Pimpika
110,0,0.6,0.25,0.1,BadOutfit,swill300857
111,0,1.0,1.0,0.5,IlxxxlI,gust
112,1,16.15,1.0,0.5,gust,AironVega
113,2,9.5,1.0,0.5,_robbyJ,IlxxxlI
114,0,1.0,1.0,0.5,WomboComboAA,IlxxxlI
115,0,2.5,1.0,0.5,IlxxxlI,gust
116,0,0.6,0.25,0.1,dtnfk,Parcker
117,2,7.41,1.0,0.5,gust,Portly23
118,0,2.75,0.5,0.25,sabiurr,Spagetti1
119,3,31.22,1.0,0.5,IlxxxlI,l3ae
120,0,2.5,1.0,0.5,Pimpika,WomboComboAA
121,1,0.81,0.25,0.1,DarkKnight247,BadOutfit
122,3,1.85,0.25,0.1,Flushdogg,IlxxxlI
123,0,1.0,1.0,0.5,Pimpika,IlxxxlI
124,0,9.0,1.0,0.5,twoakers,_robbyJ
125,0,0.6,0.25,0.1,FirstClan,dtnfk
126,0,1.0,0.5,0.25,IlxxxlI,sabiurr
127,0,1.0,1.0,0.5,FirstClan,Pimpika
128,1,0.57,0.25,0.1,IlxxxlI,DarkKnight247
129,0,1.0,1.0,0.5,GamesDean,Pimpika
130,0,2.5,1.0,0.5,IlxxxlI,gust
131,2,2.89,0.25,0.1,IlxxxlI,Flushdogg
132,2,5.23,1.0,0.5,Ice Bank Mice Elf,IlxxxlI
133,0,2.5,1.0,0.5,Pimpika,twoakers
134,0,2.5,1.0,0.5,Ice Bank Mice Elf,FirstClan
135,0,0.2,0.25,0.1,Zzzzzzz10,IlxxxlI
136,0,0.6,0.25,0.1,Parcker,IlxxxlI
137,0,1.0,1.0,0.5,IlxxxlI,Ice Bank Mice Elf
138,3,28.12,1.0,0.5,Portly23,GamesDean
139,0,0.6,0.25,0.1,Flushdogg,Zzzzzzz10
140,1,7.13,1.0,0.5,winnipuh,Ice Bank Mice Elf
141,3,1.29,0.25,0.1,bclever,FirstClan
142,3,19.24,0.5,0.25,Pimpika,IlxxxlI
143,0,2.5,1.0,0.5,RunnerLucker,Pimpika
144,0,0.5,0.25,0.1,Parcker,Flushdogg
145,1,0.57,0.25,0.1,joeyzzz,Parcker
146,0,0.5,0.25,0.1,IlxxxlI,Zzzzzzz10
147,1,3.8,1.0,0.5,AironVega,Portly23
148,3,43.4,1.0,0.5,pineapplesand,IlxxxlI
149,1,2.89,0.25,0.1,Parcker,IlxxxlI
150,0,2.5,1.0,0.5,Portly23,winnipuh
151,0,0.2,0.25,0.1,Zzzzzzz10,Parcker
152,1,5.23,1.0,0.5,scootie,RunnerLucker
153,2,12.92,1.0,0.5,WomboComboAA,IlxxxlI
154,0,0.75,0.25,0.1,Ice Bank Mice Elf,joeyzzz
155,0,2.5,1.0,0.5,Pimpika,Portly23
156,3,1.05,0.25,0.1,IlxxxlI,Parcker
157,0,0.6,0.25,0.1,IlxxxlI,Zzzzzzz10
158,3,5.86,0.25,0.1,IlxxxlI,bclever
159,0,2.5,1.0,0.5,AironVega,scootie
160,0,0.2,0.25,0.1,xx10jqkaxx,Ice Bank Mice Elf
161,0,2.0,1.0,0.5,Pimpika,WomboComboAA
162,0,0.6,0.25,0.1,dtnfk,IlxxxlI
163,3,21.97,1.0,0.5,IlxxxlI,AironVega
164,0,2.5,1.0,0.5,FirstClan,Pimpika
165,2,27.48,1.0,0.5,AironVega,pineapplesand
166,1,12.96,1.0,0.5,l3ae,Pimpika
167,0,3.5,1.0,0.5,Ice Bank Mice Elf,AironVega
168,0,0.6,0.25,0.1,solasso,xx10jqkaxx
169,0,0.6,0.25,0.1,Parcker,IlxxxlI
170,0,2.0,1.0,0.5,Pimpika,AironVega
